Fecha,Observados,Predicción,Error
2020-03-22,65,70.9244073975949,-5.924407397594905
2020-03-23,51,87.46909286023758,-36.46909286023758
2020-03-24,38,91.69467642409481,-53.69467642409481
2020-03-25,71,88.21077449805755,-17.210774498057546
2020-03-26,109,99.5531452961657,9.446854703834305
2020-03-27,132,124.43322712184228,7.566772878157721
2020-03-28,131,154.1526553215642,-23.152655321564197
2020-03-29,145,176.9860429167679,-31.9860429167679
2020-03-30,101,200.17180412640639,-99.17180412640639
2020-03-31,121,200.5890402573268,-79.58904025732679
2020-04-01,163,207.5970430628201,-44.59704306282009
2020-04-02,132,227.09922498743452,-95.09922498743452
2020-04-03,178,232.2807353520428,-54.2807353520428
2020-04-04,202,250.36277503359509,-48.362775033595085
